Date,Open,High,Low,Close,Volume
2022-11-27,850.74850147,880.75633014,824.74956457,849.79805416,20576696782.155735
2022-11-28,846.6388871,929.1269174,806.90928846,875.87405801,26990250070.5994
2022-11-29,874.34055826,986.79966037,829.05091293,925.79946439,33081669392.81107
2022-11-30,923.00030448,1070.8051447,874.53947272,991.32123585,36325858081.010666
2022-12-01,993.95371431,1115.42691181,909.1172496,1050.6560035,37100975302.18378
2022-12-02,1053.93894627,1215.47779716,977.55424342,1094.70261139,37135669822.55662
2022-12-03,1102.00289313,1239.06941818,1031.36642092,1151.39912783,38113457567.65065
2022-12-04,1154.11273128,1300.82802643,1035.81756077,1219.83954715,41901285848.00645
2022-12-05,1222.23542493,1397.30174366,1117.74007906,1276.96654919,42225512044.14334
2022-12-06,1274.46275538,1398.59685622,1164.84086199,1295.66126474,44669355700.997574
2022-12-07,1291.88030481,1401.12050399,1189.30356123,1251.42177642,47485599226.29383
2022-12-08,1247.53486998,1380.21380778,1065.38618096,1194.60307365,48184381993.66103
2022-12-09,1188.78535904,1251.00563484,1078.87834487,1178.64426579,45539421506.48295
2022-12-10,1169.3250102,1353.79614289,1070.63826075,1223.62316024,43880961555.39573
2022-12-11,1210.31334673,1372.80254959,1148.3719144,1254.27869043,43017878717.29863
2022-12-12,1233.77480472,1342.91827245,1121.31698427,1264.639106,42164710474.81249
2022-12-13,1244.45852957,1323.40863719,1163.6759354,1259.43999133,41322573258.53135
2022-12-14,1247.13280114,1332.35065779,1156.78601781,1281.2445256,34794716967.57108
2022-12-15,1264.68609205,1402.27391187,1183.83719799,1302.42382327,34513585354.14191
2022-12-16,1283.56314651,1372.55548268,1201.23055653,1322.98577616,35157211606.40435
2022-12-17,1316.90961375,1383.88180696,1167.80959149,1258.56483203,36915388188.64154
2022-12-18,1251.4258625,1350.42332878,1112.88479646,1224.9517299,37606170856.497345
2022-12-19,1221.11693122,1319.64662833,1123.91156327,1188.57649394,36924320917.3516
2022-12-20,1188.4578521,1309.53929019,1126.62415134,1247.37754367,37225229692.783295
2022-12-21,1250.17663098,1373.96749581,1148.83300307,1264.47735583,38434346895.41968
2022-12-22,1259.86818845,1371.06808899,1189.4034063,1297.9677231,38998546309.162155
2022-12-23,1293.36961232,1375.57075029,1204.94317074,1273.47246546,38763288503.981964
2022-12-24,1262.87627651,1343.93573485,1183.00672102,1296.222862,38250293808.76764
2022-12-25,1299.23215177,1366.18618573,1220.06208863,1316.50973599,40754295587.24342
2022-12-26,1311.45318572,1457.22526207,1222.90589201,1373.42095183,42705779568.589264
2022-12-27,1364.42765747,1434.59620313,1297.3008486,1377.269951,42134640341.11562
2022-12-28,1365.48991849,1461.75663099,1272.26429903,1386.41974158,41206427890.039604
2022-12-29,1370.26352367,1485.62210724,1317.75952514,1436.39995973,41771886209.33003
2022-12-30,1430.64600485,1637.1491789,1349.07081403,1540.24679885,43350014497.68504
2022-12-31,1548.67842583,1741.99492503,1439.96473535,1627.13051199,42213838450.86744
2023-01-01,1631.101576,1806.45765761,1561.9024437,1693.72610101,38851338748.57172
2023-01-02,1688.9987725,1843.82612979,1609.90222727,1717.4175554,38189290688.65086
2023-01-03,1700.3763925,1867.62014499,1622.78162545,1744.11606739,40053031846.95067
2023-01-04,1729.64636842,1940.59198272,1615.59256119,1830.69132885,44796726848.337944
2023-01-05,1817.27327825,2030.26715818,1717.97951356,1926.30014407,46661955519.60509
2023-01-06,1911.3199612,2190.93051585,1832.48065773,2032.48587551,48130347102.285446
2023-01-07,2022.20620781,2232.08915731,1868.45346094,2071.24411993,47644845041.43333
2023-01-08,2066.25209916,2270.94813621,1979.84510668,2113.46347774,48478887124.560074
2023-01-09,2112.03303208,2255.95472568,2019.79713258,2145.52589758,47864737394.71567
2023-01-10,2142.06289849,2223.76437802,2048.80146761,2156.73715946,46931102997.44397
2023-01-11,2145.81065786,2273.44959459,2089.81514125,2155.08816596,44938202193.84461
2023-01-12,2151.92180699,2286.78883208,2092.34194851,2168.2415967,43880684827.81784
2023-01-13,2165.94729822,2307.19370306,2040.63773456,2202.04671183,42594689370.34799
2023-01-14,2207.1458768,2386.87560696,2104.86238454,2267.73824459,40083045911.4381
2023-01-15,2277.94760306,2495.6164265,2210.5761911,2379.47827352,37883156782.64098
2023-01-16,2375.67190077,2596.00259589,2236.81922807,2439.80111786,38410423583.937
2023-01-17,2424.62670665,2579.84729538,2313.70914827,2502.27349304,37633614341.290924
2023-01-18,2483.98427982,2668.24757209,2379.58650154,2474.97443272,38973481384.68201
2023-01-19,2452.25736564,2572.78250952,2189.39966599,2395.47545649,42482629951.72972
2023-01-20,2385.31708441,2550.51093879,2153.21412486,2338.39318578,41323690504.57479
2023-01-21,2333.83120668,2477.47864732,2080.06610436,2227.62683877,41530409853.09651
2023-01-22,2232.93742645,2432.53780012,1923.78782286,2180.50884139,57948398653.63879
2023-01-23,2187.4334369,2326.84230883,1949.77651563,2090.83019046,55651033505.53113
2023-01-24,2097.33692212,2296.05504754,1933.02273138,2052.44741027,55285883165.481705
2023-01-25,2065.85621064,2256.54028693,1950.74497385,2107.10597773,54433355538.4745
2023-01-26,2120.89457305,2306.28066903,1968.72723015,2139.81271251,48552921317.92265
2023-01-27,2150.82471166,2333.74600885,2006.71374708,2227.54900912,46627376005.12841
2023-01-28,2247.68887871,2329.65758184,2041.0138418,2209.52760123,46729882776.12954
2023-01-29,2225.40103482,2363.17150211,2126.62708214,2215.55067332,29392764266.083164
2023-01-30,2225.1282141,2348.21768534,2081.95324994,2211.2136604,27983975408.728554
2023-01-31,2211.8986329,2383.75976329,2105.98751084,2276.95737451,27863844507.307068
2023-02-01,2283.08903458,2498.77142963,2198.99355929,2370.72516273,27671367597.70076
2023-02-02,2385.77776349,2589.65818626,2326.2924913,2467.27436305,27257717726.273758
2023-02-03,2478.58673774,2618.28036761,2356.51679097,2512.4474659,28343242604.230934
2023-02-04,2532.58832739,2701.38896514,2451.72701074,2561.42350818,28960838955.81076
2023-02-05,2559.16246424,2686.66761148,2433.51070659,2553.24830819,28613806314.50211
2023-02-06,2551.06238578,2761.73418266,2426.62825411,2621.524852,31278545324.213795
2023-02-07,2619.47368547,2735.30088608,2546.26493996,2628.32288566,31312945936.1893
2023-02-08,2620.09280569,2698.2215971,2441.17198943,2618.5649619,32050745397.547596
2023-02-09,2634.26335066,2731.48394031,2401.5882956,2548.58781921,33417221321.592422
2023-02-10,2559.45653213,2695.48588268,2430.69238883,2541.45696038,33365713534.355923
2023-02-11,2545.95888164,2682.53917915,2422.02346786,2555.61428395,32982819183.45348
2023-02-12,2559.24175555,2675.58352301,2449.81297614,2578.13987184,31906805904.4238
2023-02-13,2562.81208653,2679.60854978,2444.7215347,2570.42574227,31427143677.333866
2023-02-14,2552.12815607,2637.57450256,2485.71693681,2566.33053998,32239542710.957817
2023-02-15,2561.46082978,2644.38741495,2419.3686954,2515.08042866,31361707841.061115
2023-02-16,2505.96461426,2622.7854851,2378.70809639,2452.48738043,30443493549.66905
2023-02-17,2438.70584868,2532.96397506,2274.46701388,2369.62931248,31434653222.52602
2023-02-18,2370.50318991,2454.20378235,2209.67074929,2307.51691005,32383655470.111874
2023-02-19,2318.97944759,2432.08250657,2234.6468188,2316.91566817,31965934820.136936
2023-02-20,2329.73996904,2481.79364231,2189.36647135,2386.32500416,30687878112.85308
2023-02-21,2392.43016665,2610.7448224,2326.23000682,2480.33486246,30693849944.98617
2023-02-22,2483.01523059,2697.64372956,2422.37860342,2559.60304786,29192210805.07529
2023-02-23,2554.47350327,2741.08353851,2465.09013326,2631.54304983,29607194746.07731
2023-02-24,2618.42550445,2815.6818017,2514.67612142,2710.5282764,29277959574.09207
2023-02-25,2690.48660554,2839.32289748,2619.62538703,2752.79757736,30112706761.593983
2023-02-26,2731.57709417,2907.00917136,2634.77060019,2805.20918967,30728239972.856388
2023-02-27,2778.83167742,2905.47431126,2663.83734593,2820.14770081,32767896850.774086
2023-02-28,2784.82463811,2912.46040053,2717.17958623,2850.60130468,33271970134.324505
2023-03-01,2826.01193171,2964.57204317,2691.24843731,2838.3104014,33964283468.08517
2023-03-02,2822.27838073,2958.02682876,2729.44308384,2856.25542828,35575219016.77302
2023-03-03,2861.15803667,2983.64999819,2670.88479018,2805.19799224,36135405373.440765
2023-03-04,2802.24734545,2878.73051987,2723.33921506,2802.2392552,36097834102.21405
2023-03-05,2802.93271066,2936.81414877,2682.06876292,2805.46035787,33797679681.93087
2023-03-06,2809.0516069,2941.67831623,2674.21371705,2861.21060508,33547554660.118595
2023-03-07,2861.41557644,2989.19347029,2790.64726605,2892.90749324,33543469032.230186
2023-03-08,2900.59943354,3026.83312209,2838.67437889,2915.38597584,32965906692.70886
2023-03-09,2929.11008008,3061.85189742,2852.25689268,2970.89140665,34298677433.51159
2023-03-10,2984.78491244,3168.6452907,2918.59905095,3023.55933649,33563917430.053722
2023-03-11,3031.45889741,3186.10440432,2887.2205792,3103.4668885,33326857463.170002
2023-03-12,3105.66459822,3248.50198836,2965.25157318,3096.52239426,35601311163.95141
2023-03-13,3083.34350624,3251.91026385,2906.28556488,3037.30450554,37023541453.26045
2023-03-14,3019.04200234,3181.40407966,2730.7249068,2937.413403,42063136412.455795
