Date,Open,High,Low,Close,Volume
2022-11-27,58.2196452,60.69336034,56.21282868,57.82034766,7491646138.827843
2022-11-28,57.91884778,60.0126578,55.29330487,58.58706478,9052297431.87666
2022-11-29,58.51042261,63.86170319,54.60152635,61.46796301,13782103845.851389
2022-11-30,61.4896439,68.40552182,58.2736021,65.36430626,17155679210.438568
2022-12-01,65.24942444,75.20373337,59.098797,69.86176046,18296007898.747475
2022-12-02,69.58402624,78.73408132,63.73842971,73.21222649,19151724837.054886
2022-12-03,73.05657987,79.73749199,67.73237184,76.96192699,19539518253.4271
2022-12-04,77.25657544,83.80968597,71.90475114,79.98188697,21833189666.263187
2022-12-05,79.84497271,86.41769445,75.48319915,82.12705932,22728995442.917988
2022-12-06,82.45230772,86.88381808,75.61396114,81.97977919,22707512552.73074
2022-12-07,82.05835995,86.27574756,73.41113049,79.26762844,23058702949.326393
2022-12-08,79.4205496,84.19453161,70.27199842,75.01357593,22564887100.251045
2022-12-09,75.5397856,82.56636583,68.30635534,73.25566017,20582011651.71904
2022-12-10,73.72448005,80.14838594,69.81396374,75.36504462,20119281733.35025
2022-12-11,75.64831273,81.08321473,71.4293731,77.46739051,19318415768.085476
2022-12-12,77.8804912,82.68730214,72.36866234,79.20363347,19530488026.97447
2022-12-13,79.4723991,83.10961428,75.38832487,80.13774898,18778249292.66412
2022-12-14,80.48793019,85.28156188,77.50068074,82.05254974,16091018699.259516
2022-12-15,82.26267994,87.45010537,76.59754672,83.56158622,17058796579.529379
2022-12-16,83.97393982,90.66059862,80.44338383,84.78123463,18208951940.485256
2022-12-17,84.6812974,92.26465231,77.99728754,81.79682027,19042397617.244846
2022-12-18,81.43434583,88.03791414,71.6568777,80.0639289,19454020790.950172
2022-12-19,79.40301722,83.66073355,70.31204614,78.27898941,19658183176.641224
2022-12-20,77.77889605,87.27573835,72.85538421,82.16698022,19707581082.828568
2022-12-21,81.3334097,88.44046617,77.98386178,83.47072191,20698869397.907436
2022-12-22,82.63350746,88.0345249,78.50790886,85.27731253,19690059274.362476
2022-12-23,84.30525281,89.81109752,77.92470259,83.30999484,19465767524.101276
